horizon,split,corridor,baseline,experiment,signal_count,signals_per_week,delta_lift,delta_lift_ci_low,delta_lift_ci_high,delta_bps,delta_bps_ci_low,delta_bps_ci_high,decision
5,y2022,RUB->AMD,cbr_full_logreg,incumbent_ab,6,0.11864406779661017,-2.287037037037037,-3.978310869565217,-0.48398200376040823,-166.9268304731583,-504.7044286338306,369.30224574485584,insufficient_frequency
5,y2022,RUB->KGS,cbr_full_logreg,incumbent_ab,3,0.059322033898305086,-2.5333333333333337,-4.147322695035461,0.0,-156.54182468250735,-193.87919951325011,0.0,insufficient_frequency
5,y2022,RUB->KZT,cbr_full_logreg,incumbent_ab,6,0.11864406779661017,,,,,,,insufficient_frequency
5,y2022,RUB->TJS,cbr_full_logreg,incumbent_ab,10,0.1977401129943503,-2.566233766233766,-3.8594209039548018,-1.43026931301791,-141.2055843956258,-360.04886237575255,187.0958153023316,insufficient_frequency
5,y2022,RUB->UZS,cbr_full_logreg,incumbent_ab,7,0.1384180790960452,-0.7238095238095238,-3.9005158730158724,0.0,-59.05034030057229,-310.55354881777276,151.48230307781307,insufficient_frequency
5,wf_oos,RUB->AMD,cbr_full_logreg,incumbent_ab,23,0.16718587746625127,0.27479416437960424,-1.0615101139269938,1.503156746202659,54.96764983168818,-57.76160709150837,176.7110677421427,insufficient_frequency
5,wf_oos,RUB->KGS,cbr_full_logreg,incumbent_ab,19,0.13811007268951192,0.556703386372909,-0.2559826796110563,1.6084182354212104,54.629958170688006,-48.01193316836282,169.4014056755159,insufficient_frequency
5,wf_oos,RUB->KZT,cbr_full_logreg,incumbent_ab,20,0.14537902388369678,-0.2607054148037754,-1.4216469945355192,1.3921729691286973,-12.308561887812168,-126.70444196930667,116.89957391241317,insufficient_frequency
5,wf_oos,RUB->TJS,cbr_full_logreg,incumbent_ab,27,0.19626168224299065,-0.03891855241969666,-0.9732468715836717,0.8501466293509773,36.92873697752938,-75.21099143871253,156.7764461624654,insufficient_frequency
5,wf_oos,RUB->UZS,cbr_full_logreg,incumbent_ab,19,0.13811007268951192,0.3272101823185415,-0.8741086157798733,1.7427297720255464,69.80353540123217,-33.61981274594012,194.05018326447208,insufficient_frequency
5,oot,RUB->AMD,cbr_full_logreg,incumbent_ab,0,0.0,,,,,,,unusable
5,oot,RUB->KGS,cbr_full_logreg,incumbent_ab,0,0.0,,,,,,,unusable
5,oot,RUB->KZT,cbr_full_logreg,incumbent_ab,0,0.0,,,,,,,unusable
5,oot,RUB->TJS,cbr_full_logreg,incumbent_ab,0,0.0,,,,,,,unusable
5,oot,RUB->UZS,cbr_full_logreg,incumbent_ab,0,0.0,,,,,,,unusable
5,y2022,RUB->AMD,cbr_full_logreg,cbr_context_logreg,14,0.2768361581920904,-3.1855158730158735,-4.813979591836734,-1.9698424971363127,-458.5766596308746,-596.5814573858175,-171.86040696483138,insufficient_frequency
5,y2022,RUB->KGS,cbr_full_logreg,cbr_context_logreg,12,0.23728813559322035,-3.4833333333333334,-5.646492647058824,-2.3447623541523708,-323.8663211165149,-406.28423980087314,-101.42440745472605,insufficient_frequency
5,y2022,RUB->KZT,cbr_full_logreg,cbr_context_logreg,9,0.17796610169491525,,,,,,,insufficient_frequency
5,y2022,RUB->TJS,cbr_full_logreg,cbr_context_logreg,6,0.11864406779661017,-2.6731601731601735,-4.055169011868465,-1.652500378070153,-242.35093289528254,-317.52345946577015,-94.19528222113712,insufficient_frequency
5,y2022,RUB->UZS,cbr_full_logreg,cbr_context_logreg,12,0.23728813559322035,-0.95,-4.193602272727273,0.0,-56.12514562823745,-312.7786513771276,108.13850671102365,insufficient_frequency
5,wf_oos,RUB->AMD,cbr_full_logreg,cbr_context_logreg,63,0.4579439252336448,0.2179401993355481,-0.8635687569688502,0.8623459684170238,39.65500738037601,-50.4279283341158,117.94102350122795,insufficient_frequency
5,wf_oos,RUB->KGS,cbr_full_logreg,cbr_context_logreg,61,0.44340602284527514,0.59355953742534,0.2884720882579938,1.2873950904360278,57.06936240902809,-28.611368643603935,158.0295007312363,insufficient_frequency
5,wf_oos,RUB->KZT,cbr_full_logreg,cbr_context_logreg,62,0.45067497403946,0.12089162380013785,-1.0600177470097412,1.1236709626867682,-3.7495209100756135,-84.64328481135256,81.730667118472,insufficient_frequency
