horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,signals_per_week,cluster_share,brier_score,experiment,feature_groups
1,RUB->AMD,logreg,wf_oos,656,64,353,0.46875,0.538109756097561,0.555625,0.8711048158640227,0.8436445444319459,4.639784017060413,0.46521287642782966,0.09375,0.24884083837383386,cbr_full_logreg,"A,B,C,E"
1,RUB->KGS,logreg,wf_oos,656,62,348,0.5,0.5304878048780488,0.5238709677419354,0.9425287356321839,0.954433497536946,11.64458990370096,0.45067497403946,0.0,0.24868659475459023,cbr_full_logreg,"A,B,C,E"
1,RUB->KZT,logreg,wf_oos,656,45,333,0.5777777777777777,0.5076219512195121,0.5008888888888889,1.138204871538205,1.1535048802129546,23.529335282892326,0.32710280373831774,0.08888888888888889,0.24859129230044932,cbr_full_logreg,"A,B,C,E"
1,RUB->TJS,logreg,wf_oos,656,53,361,0.49056603773584906,0.5503048780487805,0.5615094339622642,0.8914441018136204,0.8736559139784946,1.0079402142521179,0.38525441329179644,0.05660377358490566,0.24627932486815304,cbr_full_logreg,"A,B,C,E"
1,RUB->UZS,logreg,wf_oos,656,53,345,0.5094339622641509,0.5259146341463414,0.5154716981132075,0.9686628383921247,0.9882869692532944,13.956351725383263,0.38525441329179644,0.018867924528301886,0.24893485963274062,cbr_full_logreg,"A,B,C,E"
1,RUB->AMD,logreg,oot,247,6,132,0.8333333333333334,0.5344129554655871,0.5533333333333333,1.5593434343434343,1.5060240963855422,58.22721281071919,0.11538461538461539,0.0,0.24649452602379768,cbr_full_logreg,"A,B,C,E"
1,RUB->KGS,logreg,oot,247,8,117,0.5,0.47368421052631576,0.47,1.0555555555555556,1.0638297872340425,36.433151314527805,0.15384615384615385,0.0,0.2525858943336534,cbr_full_logreg,"A,B,C,E"
1,RUB->KZT,logreg,oot,247,5,142,1.0,0.5748987854251012,0.5399999999999999,1.73943661971831,1.851851851851852,62.64116016847602,0.09615384615384616,0.0,0.25881684204092714,cbr_full_logreg,"A,B,C,E"
1,RUB->TJS,logreg,oot,247,9,125,0.7777777777777778,0.5060728744939271,0.5333333333333334,1.536888888888889,1.458333333333333,55.77032160400057,0.17307692307692307,0.0,0.2438913556541107,cbr_full_logreg,"A,B,C,E"
1,RUB->UZS,logreg,oot,247,10,136,0.6,0.5506072874493927,0.564,1.089705882352941,1.0638297872340425,39.44562000675843,0.19230769230769232,0.0,0.2555175824869562,cbr_full_logreg,"A,B,C,E"
