experiment,currency,fold,training_horizon,evaluation_horizon,hit_rate,base_hit_rate,eligible_days,target_positives,positive_target_per_week,all_signals,outcome_signals,excluded_outcome_signals,moment_signals,excluded_moment_signals,empty_week_share,over_two_week_share,weeks,period_start,period_end,small_sample,worst_five_mean_bps,random_hit_rate_lar,random_forward_bps_lar,random_cvar_lar,forward_bps_lar,lift_ci_low,lift_ci_high,lift_bootstrap_valid,moment_advantage_bps_ci_low,moment_advantage_bps_ci_high,moment_advantage_bps_bootstrap_valid,customer_regret_cvar_95_bps_ci_low,customer_regret_cvar_95_bps_ci_high,customer_regret_cvar_95_bps_bootstrap_valid,lift_at_risk_ci_low,lift_at_risk_ci_high,lift_at_risk_bootstrap_valid
catboost_ab,TJS,wf_2022,5.0,1,0.5641025641025641,0.5303643724696356,247,131,2.5686274509803924,39,39,0,39,0,0.6470588235294118,0.1176470588235294,51,2022-01-11,2022-12-31,True,611.4550762738858,0.4865384615384616,-34.632454435409336,1037.75210314709,-20.399631909776897,0.8374789105000372,1.4074549549549549,1000,0.516389895512119,40.434377154482874,1000,80.36723505601584,1097.8253308230346,1000,0.8146167235521152,11.206556351875363,1000
catboost_ab,TJS,wf_2023,5.0,1,0.4883720930232558,0.5708502024291497,247,141,2.764705882352941,86,86,0,86,0,0.4705882352941176,0.3333333333333333,51,2023-01-10,2023-12-30,True,170.06479688358445,0.4594767441860465,-8.31036474803002,211.48706317251495,-0.5812815279254316,0.7450927727607866,1.0450422581924552,1000,5.043110867777611,14.299309018477176,1000,97.05823774166964,211.15636577757445,1000,1.029432309988954,2.528605265565558,1000
catboost_ab,TJS,wf_2024,5.0,1,0.4864864864864865,0.5483870967741935,248,136,2.6666666666666665,37,37,0,37,0,0.7254901960784313,0.1568627450980392,51,2024-01-10,2024-12-29,True,188.52847805016455,0.545,-8.85237923633696,229.7023576584008,-21.876417815850193,0.6020508055831238,1.179051239856154,1000,-8.811888768052416,6.111570833069097,1000,96.37883765554264,394.8988344240822,1000,0.4360292534010624,0.9938676711015784,1000
catboost_ab,TJS,wf_2025,5.0,1,,0.5217391304347826,161,84,2.4705882352941178,0,0,0,0,0,1.0,0.0,34,2025-01-10,2025-08-30,True,,,,,,,,0,,,0,,,0,,,0
catboost_ab,UZS,oot,5.0,1,0.5454545454545454,0.5506072874493927,247,136,2.5660377358490565,22,22,0,22,0,0.8113207547169812,0.0754716981132075,53,2025-09-02,2026-09-02,True,126.02798571722886,0.6213636363636365,32.12510295742525,190.265699349362,27.315812526793255,0.319025194025194,1.3906361438183348,1000,-41.5700734889013,-8.614140635824548,1000,48.951004262443035,259.1600973263497,1000,0.3698508554115932,1.2684840052155075,997
catboost_ab,UZS,wf_2022,5.0,1,0.4473684210526316,0.4817813765182186,247,119,2.3333333333333335,38,38,0,38,0,0.6470588235294118,0.0980392156862745,51,2022-01-11,2022-12-31,True,488.86210061240126,0.3671052631578946,-56.309881936847304,719.9367555730711,-29.801301804576656,0.5571323924009873,1.4617559523809522,1000,-2.7674160994806165,55.406268889998046,1000,69.25215074710334,848.1230869016821,1000,0.5938815585210937,6.69216290858124,1000
catboost_ab,UZS,wf_2023,5.0,1,0.4807692307692308,0.562753036437247,247,139,2.7254901960784315,104,104,0,104,0,0.4509803921568627,0.4313725490196078,51,2023-01-10,2023-12-30,False,,0.4709134615384615,-4.172247766837579,209.0761191571027,2.171040104405705,0.7159147653895824,1.0796401515151517,1000,3.74129446218665,13.428098442439572,1000,94.06081660801053,204.04335097029687,1000,1.0036955332742317,2.0744839233680152,1000
catboost_ab,UZS,wf_2024,5.0,1,0.3684210526315789,0.5403225806451613,248,134,2.627450980392157,38,38,0,38,0,0.6862745098039216,0.1176470588235294,51,2024-01-10,2024-12-29,True,232.9404979665548,0.4161842105263157,-21.398764478374545,345.6189302967225,-39.32211298558899,0.3878372633211729,0.9339443909455382,1000,-13.932735826191694,1.5020953635265013,1000,100.8500374512633,418.0450001678526,1000,0.6133108189925109,1.192443539434569,1000
catboost_ab,UZS,wf_2025,5.0,1,0.25,0.4472049689440994,161,72,2.1176470588235294,4,4,0,4,0,0.9705882352941176,0.0294117647058823,34,2025-01-10,2025-08-30,True,41.80426025145345,0.40875,-25.809573075857053,62.629448381652985,-36.0474412292744,0.4908536585365854,2.439393939393939,252,-14.591996042900846,-5.166383587541512,252,0.0,66.02899957794506,252,0.5848840088908069,1.0170329179149724,207
catboost_abcd,AMD,oot,5.0,1,0.0,0.5344129554655871,247,132,2.490566037735849,1,1,0,1,0,0.981132075471698,0.0,53,2025-09-02,2026-09-02,True,54.78572216018218,0.795,38.819332126395494,11.231073042837346,-54.48721004509993,0.0,0.0,647,-61.03393811117686,-61.03393811117685,647,54.78572216018218,54.78572216018218,647,0.0,0.0,568
