horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,value_observations,moment_advantage_bps,regret_observations,customer_regret_bps_mean,customer_regret_bps_max,customer_regret_cvar_95_bps,customer_regret_worst_five_mean_bps,useful_signals_per_week,useful_signals_per_100_weeks,eligible_weeks,pushes_per_week,pushes_p50_per_week,pushes_p90_per_week,zero_push_week_rate,over_budget_week_rate,cluster_rate,signals_per_week,cluster_share,lift_at_risk,experiment,feature_groups
3,RUB->KZT,logreg,y2022,247,17,75,0.17647058823529413,0.30364372469635625,0.2917647058823529,0.5811764705882354,0.6048387096774194,-38.987027657315075,17,146.0960658717154,17,270.5982052881637,758.4487582918653,758.4487582918653,637.2722138524014,0.05882352941176471,5.882352941176471,51,0.3333333333333333,0.0,1.0,0.7843137254901961,0.0196078431372549,0.29411764705882354,0.3333333333333333,0.29411764705882354,6.334232591475363,all_external_logreg,"A,B,C,D,E,F"
3,RUB->TJS,logreg,y2022,247,20,87,0.25,0.3522267206477733,0.349,0.7097701149425287,0.7163323782234957,-140.51801998761124,20,143.52980208908315,20,388.1187898188326,1678.1682660634933,1678.1682660634933,1130.85764497652,0.09803921568627452,9.803921568627452,51,0.39215686274509803,0.0,2.0,0.803921568627451,0.058823529411764705,0.55,0.39215686274509803,0.5,24.52129821062932,all_external_logreg,"A,B,C,D,E,F"
3,RUB->UZS,logreg,y2022,247,20,79,0.1,0.31983805668016196,0.335,0.31265822784810127,0.29850746268656714,-158.87098967079143,20,104.05804679696534,20,363.6499565453427,1069.0091031248871,1069.0091031248871,862.6275633699408,0.0392156862745098,3.9215686274509802,51,0.39215686274509803,0.0,2.0,0.8235294117647058,0.058823529411764705,0.65,0.39215686274509803,0.55,3.4627669502768224,all_external_logreg,"A,B,C,D,E,F"
3,RUB->AMD,logreg,wf_oos,656,30,255,0.43333333333333335,0.38871951219512196,0.3653333333333333,1.1147712418300653,1.1861313868613141,4.497982250439666,30,9.529619176093222,30,60.15894899585598,354.15876193781946,305.00093519183815,218.45955918141243,0.09420289855072463,9.420289855072463,138,0.21739130434782608,0.0,1.0,0.8768115942028986,0.021739130434782608,0.5333333333333333,0.21739130434782608,0.4666666666666667,1.1750092439819433,all_external_logreg,"A,B,C,D,E,F"
3,RUB->KGS,logreg,wf_oos,656,20,252,0.4,0.38414634146341464,0.38300000000000006,1.0412698412698413,1.0443864229765012,-26.820805959038076,19,0.9709363683861236,19,84.26587221053934,403.3610509398367,403.3610509398367,229.71064561489297,0.057971014492753624,5.797101449275362,138,0.14492753623188406,0.0,0.0,0.9057971014492754,0.007246376811594203,0.4,0.14492753623188406,0.35,2.5165340623365386,all_external_logreg,"A,B,C,D,E,F"
3,RUB->KZT,logreg,wf_oos,656,20,222,0.4,0.3384146341463415,0.349,1.181981981981982,1.1461318051575933,25.56171667942042,20,43.06771075069826,20,71.95122387425768,419.7339328024641,419.7339328024641,194.1827925782662,0.057971014492753624,5.797101449275362,138,0.14492753623188406,0.0,0.0,0.9202898550724637,0.014492753623188406,0.5,0.14492753623188406,0.5,1.6011240382573415,all_external_logreg,"A,B,C,D,E,F"
3,RUB->TJS,logreg,wf_oos,656,27,266,0.4444444444444444,0.4054878048780488,0.42,1.0960735171261486,1.0582010582010581,16.49478070715085,26,14.561043394955478,26,59.514375643970034,394.8988344240822,277.04623912364275,189.44444398331538,0.08695652173913043,8.695652173913043,138,0.1956521739130435,0.0,0.0,0.9130434782608695,0.021739130434782608,0.6666666666666666,0.1956521739130435,0.6296296296296297,2.8417013925560446,all_external_logreg,"A,B,C,D,E,F"
3,RUB->UZS,logreg,wf_oos,656,29,247,0.3793103448275862,0.37652439024390244,0.3703448275862069,1.0073991344408766,1.0242085661080074,-11.775935295547448,27,3.527718666126854,27,83.59118635173847,422.83595778486836,356.7145060517573,261.6613674172301,0.07971014492753623,7.971014492753623,138,0.21014492753623187,0.0,1.0,0.8840579710144928,0.021739130434782608,0.5862068965517241,0.21014492753623187,0.5862068965517241,1.9591558120216255,all_external_logreg,"A,B,C,D,E,F"
3,RUB->AMD,logreg,oot,245,0,92,,0.37551020408163266,,,,,0,,0,,,,,0.0,0.0,52,0.0,0.0,0.0,1.0,0.0,,0.0,,,all_external_logreg,"A,B,C,D,E,F"
3,RUB->KGS,logreg,oot,245,0,87,,0.3551020408163265,,,,,0,,0,,,,,0.0,0.0,52,0.0,0.0,0.0,1.0,0.0,,0.0,,,all_external_logreg,"A,B,C,D,E,F"
3,RUB->KZT,logreg,oot,245,0,94,,0.3836734693877551,,,,,0,,0,,,,,0.0,0.0,52,0.0,0.0,0.0,1.0,0.0,,0.0,,,all_external_logreg,"A,B,C,D,E,F"
3,RUB->TJS,logreg,oot,245,0,91,,0.37142857142857144,,,,,0,,0,,,,,0.0,0.0,52,0.0,0.0,0.0,1.0,0.0,,0.0,,,all_external_logreg,"A,B,C,D,E,F"
3,RUB->UZS,logreg,oot,245,0,96,,0.39183673469387753,,,,,0,,0,,,,,0.0,0.0,52,0.0,0.0,0.0,1.0,0.0,,0.0,,,all_external_logreg,"A,B,C,D,E,F"
5,RUB->AMD,logreg,y2022,247,1,72,1.0,0.291497975708502,0.36,3.430555555555556,2.7777777777777777,131.11289031224825,1,65.9261955018553,1,0.0,0.0,0.0,0.0,0.0196078431372549,1.9607843137254901,51,0.0196078431372549,0.0,0.0,0.9803921568627451,0.0,0.0,0.0196078431372549,0.0,2.733927933361055,cbr_full_logreg,"A,B,C,E"
5,RUB->KGS,logreg,y2022,247,1,65,1.0,0.2631578947368421,0.3,3.8000000000000003,3.3333333333333335,116.35373090767675,1,72.96223935703506,1,0.0,0.0,0.0,0.0,0.0196078431372549,1.9607843137254901,51,0.0196078431372549,0.0,0.0,0.9803921568627451,0.0,0.0,0.0196078431372549,0.0,3.3949809342037844,cbr_full_logreg,"A,B,C,E"
5,RUB->KZT,logreg,y2022,247,0,64,,0.2591093117408907,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,cbr_full_logreg,"A,B,C,E"
5,RUB->TJS,logreg,y2022,247,1,77,1.0,0.3117408906882591,0.34,3.207792207792208,2.941176470588235,124.6435796129819,1,76.79769864338937,1,0.0,0.0,0.0,0.0,0.0196078431372549,1.9607843137254901,51,0.0196078431372549,0.0,0.0,0.9803921568627451,0.0,0.0,0.0196078431372549,0.0,3.6740864176234145,cbr_full_logreg,"A,B,C,E"
5,RUB->UZS,logreg,y2022,247,3,65,0.3333333333333333,0.2631578947368421,0.21999999999999997,1.2666666666666666,1.5151515151515154,-227.68127873273684,3,251.04668897078332,3,477.0674453927588,1133.28811893878,1133.28811893878,477.0674453927588,0.0196078431372549,1.9607843137254901,51,0.058823529411764705,0.0,0.0,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,28.776085052468133,cbr_full_logreg,"A,B,C,E"
