horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,value_observations,moment_advantage_bps,regret_observations,customer_regret_bps_mean,customer_regret_bps_max,customer_regret_cvar_95_bps,customer_regret_worst_five_mean_bps,useful_signals_per_week,useful_signals_per_100_weeks,eligible_weeks,pushes_per_week,pushes_p50_per_week,pushes_p90_per_week,zero_push_week_rate,over_budget_week_rate,cluster_rate,signals_per_week,cluster_share,lift_at_risk,feature_groups,training_horizon,evaluation_horizon,threshold_metric
10,RUB->UZS,logreg,wf_oos,656,29,156,0.20689655172413793,0.23780487804878048,0.23241379310344826,0.870026525198939,0.8902077151335313,59.932647650303096,24,54.56674678652439,24,72.24029181102404,255.95843184597732,223.02193230107625,184.31827192170357,0.043478260869565216,4.3478260869565215,138,0.21014492753623187,0.0,1.0,0.8695652173913043,0.021739130434782608,0.4482758620689655,0.21014492753623187,0.3793103448275862,2.083722197497295,"A,B",5,10,lar
1,RUB->AMD,logreg,oot,247,14,132,0.6428571428571429,0.5344129554655871,0.5528571428571428,1.202922077922078,1.1627906976744187,21.118786900251596,14,-6.502815606416666,14,31.280741865051805,148.1806023151777,148.1806023151777,87.58607722214506,0.169811320754717,16.9811320754717,53,0.2641509433962264,0.0,1.0,0.8113207547169812,0.018867924528301886,0.2857142857142857,0.2641509433962264,0.2857142857142857,1.1172176458447591,"A,B",5,1,lar
1,RUB->KGS,logreg,oot,247,10,117,0.6,0.47368421052631576,0.478,1.2666666666666666,1.2552301255230125,42.979903127188905,10,-10.523727050222751,10,18.32353838796319,80.14705342332506,80.14705342332506,36.64707677592638,0.11320754716981131,11.320754716981131,53,0.18867924528301888,0.0,1.0,0.8679245283018868,0.018867924528301886,0.3,0.18867924528301888,0.2,1.0170096801930266,"A,B",5,1,lar
1,RUB->KZT,logreg,oot,247,9,142,0.6666666666666666,0.5748987854251012,0.58,1.1596244131455398,1.1494252873563218,34.11423704324703,9,-17.121654082960944,9,18.27733936611336,89.71670057911885,89.71670057911885,32.89921085900404,0.11320754716981131,11.320754716981131,53,0.16981132075471697,0.0,0.8000000000000043,0.8867924528301887,0.018867924528301886,0.3333333333333333,0.16981132075471697,0.1111111111111111,1.1768808310644956,"A,B",5,1,lar
1,RUB->TJS,logreg,oot,247,15,125,0.6666666666666666,0.5060728744939271,0.5093333333333333,1.3173333333333332,1.3089005235602094,39.70087342559866,14,-2.61945542078463,15,14.895839732925374,76.831489716791,76.831489716791,44.687519198776116,0.18867924528301888,18.867924528301888,53,0.2830188679245283,0.0,1.0,0.8113207547169812,0.018867924528301886,0.4,0.2830188679245283,0.4,1.6368517048341453,"A,B",5,1,lar
1,RUB->UZS,logreg,oot,247,8,136,0.5,0.5506072874493927,0.5425,0.9080882352941176,0.9216589861751152,19.354452207285544,8,-19.58189201551608,8,26.84720761994164,136.40819396854243,136.40819396854243,42.95553219190662,0.07547169811320754,7.547169811320755,53,0.1509433962264151,0.0,1.0,0.8679245283018868,0.0,0.125,0.1509433962264151,0.0,0.805964796747437,"A,B",5,1,lar
10,RUB->AMD,logreg,oot,238,14,56,0.2857142857142857,0.23529411764705882,0.22999999999999995,1.2142857142857142,1.2422360248447206,-24.93483522980542,10,-54.13489721474074,12,306.5803989071546,655.5771542194067,655.5771542194067,512.6364692976697,0.0784313725490196,7.8431372549019605,51,0.27450980392156865,0.0,1.0,0.803921568627451,0.0196078431372549,0.2857142857142857,0.27450980392156865,0.2857142857142857,0.9906461785678575,"A,B",5,10,lar
10,RUB->KGS,logreg,oot,238,8,53,0.375,0.22268907563025211,0.225,1.6839622641509433,1.6666666666666665,76.54773597872477,5,-12.534234121787334,6,223.81593495505913,557.519965859905,557.519965859905,268.5791219460709,0.05882352941176471,5.882352941176471,51,0.1568627450980392,0.0,1.0,0.8823529411764706,0.0196078431372549,0.25,0.1568627450980392,0.125,0.608349834302449,"A,B",5,10,lar
10,RUB->KZT,logreg,oot,238,9,65,0.3333333333333333,0.27310924369747897,0.2733333333333333,1.2205128205128206,1.2195121951219512,221.4855549273758,9,105.22410621976194,9,88.64881253298466,327.32264470299646,327.32264470299646,153.13840104334545,0.05882352941176471,5.882352941176471,51,0.17647058823529413,0.0,1.0,0.8823529411764706,0.0196078431372549,0.3333333333333333,0.17647058823529413,0.1111111111111111,0.5493676408991327,"A,B",5,10,lar
10,RUB->TJS,logreg,oot,238,15,54,0.5333333333333333,0.226890756302521,0.21333333333333335,2.3506172839506174,2.5,144.15681202518408,7,16.074665775709374,13,96.15400801006928,416.64111044533934,416.64111044533934,239.80715263568217,0.1568627450980392,15.686274509803921,51,0.29411764705882354,0.0,1.0,0.803921568627451,0.0196078431372549,0.4,0.29411764705882354,0.4,0.9618083658595941,"A,B",5,10,lar
10,RUB->UZS,logreg,oot,238,8,63,0.125,0.2647058823529412,0.2675,0.4722222222222222,0.4672897196261682,13.721334993592047,7,-16.345941302868813,8,227.52683390543456,470.34163772649686,470.34163772649686,335.1858327398967,0.0196078431372549,1.9607843137254901,51,0.1568627450980392,0.0,1.0,0.8627450980392157,0.0,0.125,0.1568627450980392,0.0,0.32783849781583324,"A,B",5,10,lar
5,RUB->AMD,logreg,y2022,247,101,72,0.27722772277227725,0.291497975708502,0.2831683168316832,0.9510451045104512,0.979020979020979,14.394393262178262,98,90.75960402778807,99,277.93436169365515,1153.6322484811355,1128.3605466888216,1128.3605466888216,0.5490196078431372,54.90196078431372,51,1.9803921568627452,2.0,5.0,0.27450980392156865,0.37254901960784315,0.7029702970297029,1.9803921568627452,0.6633663366336634,1.411931859491718,"A,B",5,5,lar
5,RUB->KGS,logreg,y2022,247,79,65,0.27848101265822783,0.2631578947368421,0.260759493670886,1.058227848101266,1.0679611650485439,54.59697908276875,76,95.85074240320374,77,292.9446147213341,2009.8322013880465,1321.6950557064001,1233.107390669658,0.43137254901960786,43.13725490196079,51,1.5490196078431373,1.0,4.0,0.35294117647058826,0.29411764705882354,0.6455696202531646,1.5490196078431373,0.6075949367088608,1.8176102978538935,"A,B",5,5,lar
5,RUB->KZT,logreg,y2022,247,103,64,0.30097087378640774,0.2591093117408907,0.2629126213592232,1.1615594660194173,1.1447562776957168,70.66330122357785,103,113.19365377854753,103,281.3805285584618,1179.6445289005608,1038.9515984213283,1059.0250505618526,0.6078431372549019,60.78431372549019,51,2.019607843137255,2.0,4.0,0.23529411764705882,0.43137254901960786,0.7669902912621359,2.019607843137255,0.6601941747572816,1.3385037402933389,"A,B",5,5,lar
5,RUB->TJS,logreg,y2022,247,87,77,0.3218390804597701,0.3117408906882591,0.3181609195402299,1.03239289446186,1.0115606936416184,15.717187458596742,85,112.53946428908282,85,304.09415654452715,1863.3515280619872,1334.9430511387404,1334.9430511387404,0.5490196078431372,54.90196078431372,51,1.7058823529411764,1.0,4.0,0.27450980392156865,0.29411764705882354,0.6551724137931034,1.7058823529411764,0.5977011494252874,6.124075184248436,"A,B",5,5,lar
5,RUB->UZS,logreg,y2022,247,97,65,0.26804123711340205,0.2631578947368421,0.2620618556701031,1.0185567010309278,1.022816679779701,-28.078929769379187,95,77.43317326399435,95,321.61087588710734,1379.2396705958865,1202.1398111445224,1202.1398111445224,0.5098039215686274,50.98039215686274,51,1.9019607843137254,2.0,4.0,0.23529411764705882,0.3333333333333333,0.711340206185567,1.9019607843137254,0.6494845360824743,2.105987285488681,"A,B",5,5,lar
5,RUB->AMD,logreg,wf_oos,656,49,215,0.30612244897959184,0.3277439024390244,0.3273469387755102,0.9340294257237779,0.9351620947630923,30.890035596455416,49,14.646225150552688,49,65.96288975441709,781.5990331121459,407.2804025976111,303.8693798541679,0.10869565217391304,10.869565217391305,138,0.35507246376811596,0.0,1.0,0.8043478260869565,0.043478260869565216,0.5306122448979592,0.35507246376811596,0.4897959183673469,1.5497834012889222,"A,B",5,5,lar
5,RUB->KGS,logreg,wf_oos,656,34,215,0.2647058823529412,0.3277439024390244,0.34294117647058825,0.8076607387140903,0.7718696397941681,16.3709569318611,33,4.455134037984863,33,51.38186728323086,209.17413131213758,201.494958431212,170.14185055294507,0.06521739130434782,6.521739130434782,138,0.2463768115942029,0.0,1.0,0.8768115942028986,0.043478260869565216,0.5882352941176471,0.2463768115942029,0.5294117647058824,0.8059992716815715,"A,B",5,5,lar
5,RUB->KZT,logreg,wf_oos,656,30,183,0.13333333333333333,0.27896341463414637,0.2853333333333333,0.477959927140255,0.4672897196261682,1.2298363060031514,30,17.92776239903367,30,104.34648988212217,936.7084397984681,579.367965173514,342.41112242402096,0.028985507246376812,2.898550724637681,138,0.21739130434782608,0.0,1.0,0.8695652173913043,0.028985507246376812,0.4666666666666667,0.21739130434782608,0.4,1.097579748552168,"A,B",5,5,lar
5,RUB->TJS,logreg,wf_oos,656,63,230,0.4126984126984127,0.35060975609756095,0.3555555555555555,1.1770876466528641,1.1607142857142858,36.23257453810712,61,9.079627663001425,61,74.08397058577776,764.3914649765837,609.1789671955478,535.5594650409582,0.18840579710144925,18.840579710144926,138,0.45652173913043476,0.0,2.0,0.7681159420289855,0.057971014492753624,0.5396825396825397,0.45652173913043476,0.5238095238095238,1.3015428081170477,"A,B",5,5,lar
5,RUB->UZS,logreg,wf_oos,656,29,204,0.3103448275862069,0.31097560975609756,0.3055172413793104,0.9979716024340771,1.0158013544018056,36.32378504940132,26,25.158361561316305,26,43.9029080801996,137.54173729173758,135.6656713862048,121.02606232817693,0.06521739130434782,6.521739130434782,138,0.21014492753623187,0.0,1.0,0.8695652173913043,0.021739130434782608,0.4482758620689655,0.21014492753623187,0.3793103448275862,2.2185082518180383,"A,B",5,5,lar
5,RUB->AMD,logreg,oot,243,14,74,0.42857142857142855,0.3045267489711934,0.3057142857142857,1.4073359073359073,1.4018691588785046,25.495033104445756,13,-15.898263091086696,14,93.91360890306645,305.6875098666745,305.6875098666745,217.4953203147627,0.11538461538461538,11.538461538461538,52,0.2692307692307692,0.0,1.0,0.8076923076923077,0.019230769230769232,0.2857142857142857,0.2692307692307692,0.2857142857142857,1.6253464444356707,"A,B",5,5,lar
5,RUB->KGS,logreg,oot,243,10,70,0.5,0.2880658436213992,0.272,1.7357142857142855,1.838235294117647,97.18875512755176,7,-11.80743983194074,8,78.51942981998788,381.84712971919276,381.84712971919276,125.6310877119806,0.09615384615384615,9.615384615384615,52,0.19230769230769232,0.0,1.0,0.8653846153846154,0.019230769230769232,0.3,0.19230769230769232,0.2,0.8568098696366616,"A,B",5,5,lar
5,RUB->KZT,logreg,oot,243,9,80,0.4444444444444444,0.3292181069958848,0.37111111111111106,1.3499999999999999,1.1976047904191618,112.83816667940093,9,26.825250664342448,9,63.272380828439786,217.0743149859877,217.0743149859877,113.89028549119162,0.07692307692307693,7.6923076923076925,52,0.17307692307692307,0.0,0.8999999999999986,0.8846153846153846,0.019230769230769232,0.3333333333333333,0.17307692307692307,0.1111111111111111,0.6779539963737445,"A,B",5,5,lar
5,RUB->TJS,logreg,oot,243,15,73,0.6,0.3004115226337449,0.25733333333333336,1.9972602739726026,2.33160621761658,121.5446586658567,10,1.5778279614314656,15,53.123038030426905,416.64111044533934,416.64111044533934,158.1910411485432,0.17307692307692307,17.307692307692307,52,0.28846153846153844,0.0,1.0,0.8076923076923077,0.019230769230769232,0.4,0.28846153846153844,0.4,1.0904319639833318,"A,B",5,5,lar
5,RUB->UZS,logreg,oot,243,8,83,0.375,0.34156378600823045,0.335,1.0978915662650603,1.1194029850746268,41.71303527465267,7,-10.139955577502167,8,94.1311560091887,223.54718940052808,223.54718940052808,150.60984961470191,0.05769230769230769,5.769230769230769,52,0.15384615384615385,0.0,1.0,0.8653846153846154,0.0,0.125,0.15384615384615385,0.0,0.8557153670637001,"A,B",5,5,lar
1,RUB->AMD,logreg,y2022,247,1,124,1.0,0.5020242914979757,0.56,1.991935483870968,1.7857142857142856,228.98318654923867,1,62.578062449960555,1,0.0,0.0,0.0,0.0,0.0196078431372549,1.9607843137254901,51,0.0196078431372549,0.0,0.0,0.9803921568627451,0.0,0.0,0.0196078431372549,0.0,3.6983516944248684,"A,B,C",5,1,lar
1,RUB->KGS,logreg,y2022,247,1,123,1.0,0.4979757085020243,0.52,2.008130081300813,1.923076923076923,213.8249807125403,1,59.600706188804864,1,0.0,0.0,0.0,0.0,0.0196078431372549,1.9607843137254901,51,0.0196078431372549,0.0,0.0,0.9803921568627451,0.0,0.0,0.0196078431372549,0.0,4.364792591239725,"A,B,C",5,1,lar
1,RUB->KZT,logreg,y2022,247,0,116,,0.46963562753036436,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,"A,B,C",5,1,lar
1,RUB->TJS,logreg,y2022,247,1,131,1.0,0.5303643724696356,0.56,1.8854961832061068,1.7857142857142856,221.01453095604296,1,61.99794243952006,1,0.0,0.0,0.0,0.0,0.0196078431372549,1.9607843137254901,51,0.0196078431372549,0.0,0.0,0.9803921568627451,0.0,0.0,0.0196078431372549,0.0,4.864791954367813,"A,B,C",5,1,lar
