horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,value_observations,moment_advantage_bps,regret_observations,customer_regret_bps_mean,customer_regret_bps_max,customer_regret_cvar_95_bps,customer_regret_worst_five_mean_bps,useful_signals_per_week,useful_signals_per_100_weeks,eligible_weeks,pushes_per_week,pushes_p50_per_week,pushes_p90_per_week,zero_push_week_rate,over_budget_week_rate,cluster_rate,signals_per_week,cluster_share,lift_at_risk,indicator,label,evaluation_horizon
1,RUB->KGS,signal_better_than_one_year_ago,oot,247,2,117,0.0,0.47368421052631576,0.5,0.0,0.0,-150.27987438899214,2,-31.927096980401416,2,153.67369237382468,259.40333068450894,259.40333068450894,153.67369237382468,0.0,0.0,53,0.03773584905660377,0.0,0.0,0.9622641509433962,0.0,0.0,0.03773584905660377,0.0,0.0,signal_better_than_one_year_ago,"Правило: лучше, чем год назад",1
1,RUB->KZT,signal_better_than_one_year_ago,oot,247,5,142,0.4,0.5748987854251012,0.6,0.695774647887324,0.6666666666666667,-18.82469607975534,5,33.5434417964735,5,73.32707588837461,208.26710053049257,208.26710053049257,73.32707588837461,0.03773584905660377,3.7735849056603774,53,0.09433962264150944,0.0,0.0,0.9245283018867925,0.0,0.2,0.09433962264150944,0.0,1.444762168855769,signal_better_than_one_year_ago,"Правило: лучше, чем год назад",1
1,RUB->TJS,signal_better_than_one_year_ago,oot,247,6,125,0.5,0.5060728744939271,0.49,0.988,1.0204081632653061,-25.07133025312099,6,3.155361553138595,6,47.28029654554655,130.69534950668648,130.69534950668648,56.736355854655855,0.056603773584905655,5.660377358490566,53,0.11320754716981132,0.0,0.8000000000000043,0.8867924528301887,0.0,0.0,0.11320754716981132,0.0,0.5158216193979915,signal_better_than_one_year_ago,"Правило: лучше, чем год назад",1
1,RUB->UZS,signal_better_than_one_year_ago,oot,247,2,136,0.0,0.5506072874493927,0.66,0.0,0.0,-125.49354714561811,2,5.759361582920452,2,128.15738931528765,232.20853131442843,232.20853131442843,128.15738931528765,0.0,0.0,53,0.03773584905660377,0.0,0.0,0.9622641509433962,0.0,0.0,0.03773584905660377,0.0,0.0,signal_better_than_one_year_ago,"Правило: лучше, чем год назад",1
5,RUB->AMD,signal_better_than_one_year_ago,oot,243,2,74,0.0,0.3045267489711934,0.22,0.0,0.0,-61.548915787139066,2,32.77639952845191,2,159.1836777313249,305.6875098666745,305.6875098666745,159.1836777313249,0.0,0.0,52,0.038461538461538464,0.0,0.0,0.9615384615384616,0.0,0.0,0.038461538461538464,0.0,,signal_better_than_one_year_ago,"Правило: лучше, чем год назад",5
5,RUB->KGS,signal_better_than_one_year_ago,oot,243,2,70,0.0,0.2880658436213992,0.29,0.0,0.0,-132.05976136172305,2,-107.68259037320426,2,228.0319685810106,406.37414806059536,406.37414806059536,228.0319685810106,0.0,0.0,52,0.038461538461538464,0.0,0.0,0.9615384615384616,0.0,0.0,0.038461538461538464,0.0,0.0,signal_better_than_one_year_ago,"Правило: лучше, чем год назад",5
5,RUB->KZT,signal_better_than_one_year_ago,oot,243,5,80,0.2,0.3292181069958848,0.32800000000000007,0.6075,0.6097560975609755,-115.16442976626884,5,30.6168733764216,5,263.9446955917193,431.55735916569074,431.55735916569074,263.9446955917193,0.019230769230769232,1.9230769230769231,52,0.09615384615384616,0.0,0.0,0.9230769230769231,0.0,0.2,0.09615384615384616,0.0,21.960542515238554,signal_better_than_one_year_ago,"Правило: лучше, чем год назад",5
5,RUB->TJS,signal_better_than_one_year_ago,oot,243,6,73,0.5,0.3004115226337449,0.26,1.6643835616438356,1.923076923076923,37.60502236344221,6,13.872901729374648,6,89.9797276691905,323.3874311823737,323.3874311823737,107.9756732030286,0.05769230769230769,5.769230769230769,52,0.11538461538461539,0.0,0.8999999999999986,0.8846153846153846,0.0,0.0,0.11538461538461539,0.0,0.6760260031470305,signal_better_than_one_year_ago,"Правило: лучше, чем год назад",5
5,RUB->UZS,signal_better_than_one_year_ago,oot,243,2,83,0.0,0.34156378600823045,0.29,0.0,0.0,-162.1191793237292,2,-9.816106579058072,2,261.67096512753176,283.3333333333332,283.3333333333332,261.67096512753176,0.0,0.0,52,0.038461538461538464,0.0,0.0,0.9615384615384616,0.0,0.0,0.038461538461538464,0.0,0.0,signal_better_than_one_year_ago,"Правило: лучше, чем год назад",5
10,RUB->AMD,signal_better_than_one_year_ago,oot,238,2,56,0.0,0.23529411764705882,0.29,0.0,0.0,-195.62288012954343,2,-41.83841014609557,2,469.97015237678966,655.5771542194067,655.5771542194067,469.97015237678966,0.0,0.0,51,0.0392156862745098,0.0,0.0,0.9607843137254902,0.0,0.0,0.0392156862745098,0.0,,signal_better_than_one_year_ago,"Правило: лучше, чем год назад",10
