experiment,currency,fold,training_horizon,evaluation_horizon,hit_rate,base_hit_rate,eligible_days,target_positives,positive_target_per_week,all_signals,outcome_signals,excluded_outcome_signals,moment_signals,excluded_moment_signals,empty_week_share,over_two_week_share,weeks,period_start,period_end,small_sample,worst_five_mean_bps,random_hit_rate_lar,random_forward_bps_lar,random_cvar_lar,forward_bps_lar
catboost_abcd,KZT,wf_oos,5.0,10,0.19318181818181818,0.20884146341463414,656,137,0.9927536231884058,88,88,0,88,0,0.7246376811594203,0.10869565217391304,138,2023-01-10,2025-08-30,True,886.4876796185266,0.20335227272727274,24.387609069233612,900.9566564639126,25.822026577366362
catboost_abcd,TJS,wf_oos,5.0,10,0.2631578947368421,0.27439024390243905,656,180,1.3043478260869565,76,76,0,76,0,0.7608695652173914,0.09420289855072464,138,2023-01-10,2025-08-30,True,851.9244676608656,0.20842105263157895,15.76461924357481,915.7279352294505,30.318966532798687
catboost_abcd,UZS,wf_oos,5.0,10,0.2558139534883721,0.23780487804878048,656,156,1.1304347826086956,86,86,0,86,0,0.7391304347826086,0.09420289855072464,138,2023-01-10,2025-08-30,True,871.8362261431766,0.23790697674418604,21.17192042894757,880.5285721717369,29.35777392084599
level,AMD,wf_oos,,10,0.1702127659574468,0.2652439024390244,656,174,1.2608695652173914,141,141,0,141,0,0.7246376811594203,0.21739130434782608,138,2023-01-10,2025-08-30,False,,0.14148936170212767,-29.40388450776356,905.920501170616,-13.671772853961025
level,KGS,wf_oos,,10,0.15555555555555556,0.2545731707317073,656,167,1.210144927536232,135,135,0,135,0,0.7391304347826086,0.2028985507246377,138,2023-01-10,2025-08-30,False,,0.14985185185185185,-31.864991124241087,966.289664352584,-21.478559135620955
level,KZT,wf_oos,,10,0.10497237569060773,0.20884146341463414,656,137,0.9927536231884058,181,181,0,181,0,0.6666666666666666,0.26811594202898553,138,2023-01-10,2025-08-30,False,,0.09541436464088397,-66.79414805127834,994.0237177521674,-53.13703595372426
level,TJS,wf_oos,,10,0.23529411764705882,0.27439024390243905,656,180,1.3043478260869565,85,85,0,85,0,0.8260869565217391,0.12318840579710146,138,2023-01-10,2025-08-30,True,996.7798523982068,0.19888235294117648,-3.931909651800909,1005.9328383729089,20.956780337173825
level,UZS,wf_oos,,10,0.14102564102564102,0.23780487804878048,656,156,1.1304347826086956,156,156,0,156,0,0.6956521739130435,0.2536231884057971,138,2023-01-10,2025-08-30,False,,0.12298076923076923,-35.38047271856781,939.7085706122188,-21.111252862975608
logreg_a,AMD,wf_oos,5.0,10,0.189873417721519,0.2652439024390244,656,174,1.2608695652173914,79,79,0,79,0,0.6956521739130435,0.07246376811594203,138,2023-01-10,2025-08-30,True,737.4372319647748,0.19537974683544307,3.8755810958723975,789.8074998603054,9.699871729437666
logreg_a,KGS,wf_oos,5.0,10,0.1728395061728395,0.2545731707317073,656,167,1.210144927536232,81,81,0,81,0,0.6811594202898551,0.07246376811594203,138,2023-01-10,2025-08-30,True,909.9573378266898,0.20808641975308642,-0.7184270855334758,850.2386174012328,-12.22069984724682
logreg_a,KZT,wf_oos,5.0,10,0.08433734939759036,0.20884146341463414,656,137,0.9927536231884058,83,83,0,83,0,0.6666666666666666,0.07971014492753623,138,2023-01-10,2025-08-30,True,998.6584329248402,0.12265060240963856,-8.511623325837883,944.394770963277,-21.556155852013017
logreg_a,TJS,wf_oos,5.0,10,0.27710843373493976,0.27439024390243905,656,180,1.3043478260869565,83,83,0,83,0,0.6884057971014492,0.08695652173913043,138,2023-01-10,2025-08-30,True,910.7615019004363,0.2863253012048193,24.099921751894918,876.2925194607301,25.468012406930825
logreg_a,UZS,wf_oos,5.0,10,0.16883116883116883,0.23780487804878048,656,156,1.1304347826086956,77,77,0,77,0,0.6739130434782609,0.07246376811594203,138,2023-01-10,2025-08-30,True,930.8152154239484,0.21714285714285717,3.6648352319849273,910.4847504355977,-13.011481119852931
logreg_ab,AMD,wf_oos,5.0,10,0.2,0.2652439024390244,656,174,1.2608695652173914,40,40,0,40,0,0.8623188405797102,0.043478260869565216,138,2023-01-10,2025-08-30,True,393.70630106761604,0.226,24.828273443653735,636.1124110089,31.256903825713813
logreg_ab,KGS,wf_oos,5.0,10,0.21212121212121213,0.2545731707317073,656,167,1.210144927536232,33,33,0,33,0,0.8768115942028986,0.036231884057971016,138,2023-01-10,2025-08-30,True,216.90031336400438,0.23454545454545453,38.58094805959891,252.74175200911066,38.60069967619397
logreg_ab,KZT,wf_oos,5.0,10,0.06666666666666667,0.20884146341463414,656,137,0.9927536231884058,30,30,0,30,0,0.8695652173913043,0.028985507246376812,138,2023-01-10,2025-08-30,True,587.1680655763951,0.11350000000000002,-23.988225059089803,930.1629987669724,-12.141190310236857
logreg_ab,TJS,wf_oos,5.0,10,0.3617021276595745,0.27439024390243905,656,180,1.3043478260869565,47,47,0,47,0,0.8333333333333334,0.050724637681159424,138,2023-01-10,2025-08-30,True,658.4686336984344,0.3395744680851064,51.27392313938204,755.027188311989,60.491842385334444
logreg_ab,UZS,wf_oos,5.0,10,0.2222222222222222,0.23780487804878048,656,156,1.1304347826086956,27,27,0,27,0,0.8768115942028986,0.021739130434782608,138,2023-01-10,2025-08-30,True,191.18891692663186,0.257037037037037,56.05971966690359,378.4524292496522,60.977540945086176
logreg_abc,AMD,wf_oos,5.0,10,,0.2652439024390244,656,174,1.2608695652173914,0,0,0,0,0,1.0,0.0,138,2023-01-10,2025-08-30,True,,,,,
logreg_abc,KGS,wf_oos,5.0,10,,0.2545731707317073,656,167,1.210144927536232,0,0,0,0,0,1.0,0.0,138,2023-01-10,2025-08-30,True,,,,,
logreg_abc,KZT,wf_oos,5.0,10,,0.20884146341463414,656,137,0.9927536231884058,0,0,0,0,0,1.0,0.0,138,2023-01-10,2025-08-30,True,,,,,
logreg_abc,TJS,wf_oos,5.0,10,0.3333333333333333,0.27439024390243905,656,180,1.3043478260869565,3,3,0,3,0,0.9855072463768116,0.0,138,2023-01-10,2025-08-30,True,135.9016221494236,0.2583333333333333,158.98464101486707,245.9127014977982,158.8617446459824
logreg_abc,UZS,wf_oos,5.0,10,,0.23780487804878048,656,156,1.1304347826086956,0,0,0,0,0,1.0,0.0,138,2023-01-10,2025-08-30,True,,,,,
logreg_abcd,AMD,wf_oos,5.0,10,0.21739130434782608,0.2652439024390244,656,174,1.2608695652173914,46,46,0,46,0,0.8043478260869565,0.028985507246376812,138,2023-01-10,2025-08-30,True,639.6516416068829,0.22706521739130436,-0.8108184266832832,772.457536296549,4.688015708755757
logreg_abcd,KGS,wf_oos,5.0,10,0.19047619047619047,0.2545731707317073,656,167,1.210144927536232,21,21,0,21,0,0.8985507246376812,0.007246376811594203,138,2023-01-10,2025-08-30,True,369.1254869516585,0.21714285714285717,28.875341654092335,587.0024297730469,30.031504600654173
logreg_abcd,KZT,wf_oos,5.0,10,0.21428571428571427,0.20884146341463414,656,137,0.9927536231884058,14,14,0,14,0,0.927536231884058,0.007246376811594203,138,2023-01-10,2025-08-30,True,261.5046908012122,0.12678571428571425,-30.44276526552435,454.2776773927255,-4.826417416754332
logreg_abcd,TJS,wf_oos,5.0,10,0.45161290322580644,0.27439024390243905,656,180,1.3043478260869565,31,31,0,31,0,0.8840579710144928,0.028985507246376812,138,2023-01-10,2025-08-30,True,556.9437954904926,0.3556451612903226,67.48003316670503,901.8821384203143,85.96645462418206
logreg_abcd,UZS,wf_oos,5.0,10,0.2916666666666667,0.23780487804878048,656,156,1.1304347826086956,24,24,0,24,0,0.8913043478260869,0.014492753623188406,138,2023-01-10,2025-08-30,True,399.58728846544966,0.291875,69.97284722277936,646.1905583506357,82.72729693582049
momentum,AMD,wf_oos,,10,0.2808988764044944,0.2652439024390244,656,174,1.2608695652173914,89,89,0,89,0,0.6521739130434783,0.07246376811594203,138,2023-01-10,2025-08-30,True,800.7422915898528,0.17595505617977525,-17.026799369955764,871.8292433538985,33.858391858597834
momentum,KGS,wf_oos,,10,0.21739130434782608,0.2545731707317073,656,167,1.210144927536232,92,92,0,92,0,0.6594202898550725,0.08695652173913043,138,2023-01-10,2025-08-30,True,810.8819007825003,0.12315217391304348,-46.71993124748564,886.1299832604911,8.480497233468922
